AAXX,Rothera Point Airport,AQ,Rothera Point,AQ-U-A,AN,small_airport,-67.5669411575,-68.1269931793,,
AGAF,Afutara Aerodrome,SB,Bila,SB-ML,OC,small_airport,-9.19138888889,160.948611111,23,
AGAR,Ulawa Airport,SB,Arona,SB-MK,OC,small_airport,-9.86054358262,161.979546547,40,
AGAT,Uru Harbour Airport,SB,Atoifi,SB-ML,OC,small_airport,-8.87333,161.011002,,
AGBA,Barakoma Airport,SB,Barakoma,SB-WE,OC,small_airport,-7.912779808044434,156.70599365234375,,
AGEV,Geva Airport,SB,Liangia,SB-WE,OC,small_airport,-7.575829982757568,156.5970001220703,,
AGGA,Gwaunaru'u Airport,SB,Auki,SB-ML,OC,small_airport,-8.70257,160.682007,5,
AGGB,Bellona/Anua Airport,SB,Anua,SB-RB,OC,small_airport,-11.302222222200001,159.798333333,60,
AGGC,Choiseul Bay Airport,SB,,SB-CH,OC,small_airport,-6.711944,156.396111,,
AGGE,Ballalae Airport,SB,Ballalae,SB-WE,OC,small_airport,-6.990745,155.886656,5,
AGGF,Fera/Maringe Airport,SB,Fera Island,SB-IS,OC,small_airport,-8.1075,159.576996,,
AGGH,Honiara International Airport,SB,Honiara,SB-CT,OC,medium_airport,-9.4280004501343,160.05499267578,28,
AGGI,Babanakira Airport,SB,Mbambanakira,SB-GU,OC,small_airport,-9.7475004196167,159.83900451660156,,
AGGJ,Avu Avu Airport,SB,,SB-GU,OC,small_airport,-9.86833333333,160.410555556,25,
AGGK,Ngorangora Airport,SB,Kirakira,SB-MK,OC,small_airport,-10.449700355500001,161.897994995,54,
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,SB,Santa Cruz/Graciosa Bay/Luova,SB-TE,OC,small_airport,-10.72029972076416,165.7949981689453,18,
AGGM,Munda Airport,SB,,SB-WE,OC,medium_airport,-8.327969551086426,157.26300048828125,10,
AGGN,Nusatupe Airport,SB,Gizo,SB-WE,OC,small_airport,-8.09778022766,156.863998413,13,
AGGO,Mono Airport,SB,Stirling Island,SB-WE,OC,small_airport,-7.416940212249756,155.56500244140625,,
AGGP,Parasi Airport,SB,Parasi,SB-ML,OC,small_airport,-9.641670227050781,161.4250030517578,,
AGGR,Rennell/Tingoa Airport,SB,Rennell Island,SB-RB,OC,small_airport,-11.533900260925293,160.06300354003906,,
AGGS,Sege Airport,SB,Sege,SB-WE,OC,small_airport,-8.578889846801758,157.87600708007812,,
AGGT,Santa Ana Airport,SB,Santa Ana Island,SB-MK,OC,small_airport,-10.847994,162.454108,3,
AGGU,Marau Airport,SB,Marau,SB-GU,OC,small_airport,-9.861669540409999,160.824996948,,
AGGV,Suavanao Airport,SB,Suavanao,SB-IS,OC,small_airport,-7.585559844970703,158.7310028076172,,
AGGY,Yandina Airport,SB,Yandina,SB-CE,OC,small_airport,-9.092816,159.21841,60,
AGKG,Kaghau Airport,SB,Kagau Island,SB-CH,OC,small_airport,-7.3305,157.585,30,
AGKU,Kukudu Airport,SB,Kolombangara Island,SB-WE,OC,small_airport,-8.0262,156.94783,32,
AGKW,Kwailabesi Airport,SB,Kwailabesi,SB-ML,OC,small_airport,-8.360508,160.775127,52,
AGNA,Nana Airport,SB,Star Harbor,SB-MK,OC,small_airport,-10.6758,162.2049,60,
AGRC,Ringi Cove Airport,SB,Ringi Cove,SB-WE,OC,small_airport,-8.12639045715332,157.14300537109375,,
AGRM,Ramata Airport,SB,Ramata,SB-WE,OC,small_airport,-8.168060302734375,157.64300537109375,,
ANYN,Nauru International Airport,NR,Yaren District,NR-14,OC,medium_airport,-0.547458,166.919006,22,
ATUA,Utai Airstrip,PG,Utai,PG-SAN,OC,small_airport,-3.386,141.5868,707,
AYAQ,Kompiam Airport,PG,,PG-EPW,OC,small_airport,-5.38166666667,143.924722222,5100,
AYAU,Arou Airstrip,PG,Arou,PG-HE,OC,small_airport,-5.4951,142.5137,4830,
AYBB,Bak Airstrip,PG,Bak,PG-SAN,OC,small_airport,-5.2685,142.097,5440,
AYBK,Buka Airport,PG,Buka Island,PG-NSB,OC,medium_airport,-5.4223198890686035,154.67300415039062,11,
AYBR,Biaru Airport,PG,Biaru,PG-MPL,OC,small_airport,-7.6693,146.7594,4900,
AYBS,Begesin Airstrip,PG,Begesin,PG-MPM,OC,small_airport,-5.3889,145.4472,980,
AYBT,Batri Airstrip,PG,Batri,PG-SHM,OC,small_airport,-6.5522,143.9441,4510,
AYBW,Blackwara Airport,PG,,PG-SAN,OC,small_airport,-2.618211,141.091971,58,
AYBX,Wowobo Airstrip,PG,Wowobo,PG-GPK,OC,small_airport,-7.3405,144.5477,74,
AYBY,Wuyabo Airstrip,PG,Wuyabo,PG-EHG,OC,small_airport,-6.8378,145.8732,6400,
AYCH,Chimbu Airport,PG,Kundiawa,PG-CPK,OC,medium_airport,-6.024290084838867,144.9709930419922,4974,
AYDD,Dobu Airstrip,PG,Dobu,PG-CPK,OC,small_airport,-6.6305,144.6383,3115,
AYDK,Munduku Airport,PG,Munduku,PG-ESW,OC,small_airport,-4.6204,143.4516,100,
AYDL,Kondobol Airport,PG,Kondobol,PG-WPD,OC,small_airport,-8.5336,142.5049,132,
AYDN,Dinangat Airport,PG,Dinangat,PG-MPL,OC,small_airport,-6.1546,146.6772,5309,
AYDO,Doini Airport,PG,Castori Islets,PG-MBA,OC,small_airport,-10.7009,150.7218,31,
AYDP,Tsendiap Airstrip,PG,Tsendiap,PG-JI,OC,small_airport,-5.3599,144.4462,1565,
AYDQ,Dimisisi Airstrip,PG,Dimisisi,PG-WPD,OC,small_airport,-8.6298,142.2162,166,
AYDS,Dusin Airport,PG,Dusin,PG-MPM,OC,small_airport,-5.184135,144.411965,6300,
AYDU,Daru Airport,PG,Daru,PG-WPD,OC,medium_airport,-9.08675956726,143.207992554,20,
AYDW,Dewara Airstrip,PG,Dewara,PG-WPD,OC,small_airport,-8.3802,142.4475,25,
AYDY,Sindeni Airstrip,PG,Sindeni,PG-EHG,OC,small_airport,-7.0077,145.7965,5710,
AYEB,Embessa Airport,PG,Embessa,PG-NPP,OC,small_airport,-9.447,148.7628,131,
AYED,Edwaki Airport,PG,Yellow River Mission,PG-SAN,OC,small_airport,-3.883986,141.792234,190,
AYEG,Mengina Airstrip,PG,Mengina,PG-CPK,OC,small_airport,-6.4836,144.986,4224,
AYEI,Milei Airstrip,PG,Milei,PG-CPM,OC,small_airport,-9.0794,147.602,2160,
AYEK,Membok Airstrip,PG,Membok,PG-WPD,OC,small_airport,-6.4744,141.019,54,
AYEL,Eliptamin Airport,PG,Eliptamin,PG-SAN,OC,small_airport,-5.0412,141.6779,4825,
AYEM,Eleme Airstrip,PG,Eleme,PG-ESW,OC,small_airport,-4.8141,143.9103,233,
AYEN,Engati Airstrip,PG,Engati,PG-MPL,OC,small_airport,-6.9179,146.1053,3715,
AYEO,Emo River Airstrip,PG,Emo Mission,PG-NPP,OC,small_airport,-9.1234,148.0415,2240,
AYER,Erume Airport,PG,Erume,PG-CPM,OC,small_airport,-8.2538,146.9747,6690,
AYES,Meselia Airport,PG,Demgulu,PG-WBK,OC,small_airport,-6.1364,149.1183,180,
AYEU,Eloaua Airstrip,PG,Eloaua Island,PG-NIK,OC,small_airport,-1.5601,149.6318,25,
AYEY,Mirsey Airstrip,PG,Mirsey,PG-ESW,OC,small_airport,-4.0621,142.6609,107,
AYFE,Feramin Airport,PG,Feramin,PG-SAN,OC,small_airport,-5.208,141.6988,4655,
AYFK,Foroko Airstrip,PG,Foroko,PG-MPM,OC,small_airport,-5.3283,144.8944,412,
AYFO,Fogomaiu Airstrip,PG,Fogomaiu,PG-SHM,OC,small_airport,-6.5096,143.0794,737,
AYFR,Frieda River Airport,PG,Frieda River,PG-ESW,OC,small_airport,-4.610468,141.960138,217,
AYFS,Fas Airstrip,PG,Fugari,PG-SAN,OC,small_airport,-3.1983,141.472,1219,
AYFU,Fuma Airport,PG,Fuma,PG-WPD,OC,small_airport,-6.3933,142.4408,466,
AYFW,Kwieftim Airstrip,PG,Kwieftim,PG-SAN,OC,small_airport,-3.6005,141.7674,515,
AYGA,Goroka Airport,PG,Goronka,PG-EHG,OC,medium_airport,-6.081689834590001,145.391998291,5282,
AYGD,Gimi Airstrip,PG,Amusa,PG-EHG,OC,small_airport,-6.6482,145.4003,5096,
AYGE,Geigorobi Airstrip,PG,Geigorobi,PG-ESW,OC,small_airport,-4.1055,143.3056,74,
AYGF,Guari Airport,PG,Guari,PG-CPM,OC,small_airport,-8.1286,146.8722,6450,
AYGG,Garasa Airport,PG,Au,PG-MPL,OC,small_airport,-7.980713,147.213461,2539,
AYGH,Guhu Airstrip,PG,Guhu,PG-MPM,OC,small_airport,-5.6957,146.1116,3,
AYGM,Gema Airstrip,PG,Gema,PG-EHG,OC,small_airport,-6.8032,145.7756,1675,
AYGN,Gurney Airport,PG,Gurney,PG-MBA,OC,medium_airport,-10.3114995956,150.333999634,88,
AYGO,Gokto Airstrip,PG,Gokto,PG-MPM,OC,small_airport,-4.9136,144.49,259,
AYGP,Gusap Airport,PG,Gusap,PG-GPK,OC,small_airport,-6.053196,145.959047,1504,
AYGQ,Gawa Airstrip,PG,Gawa,PG-SAN,OC,small_airport,-5.259,142.233,6500,
AYGR,Girua Airport,PG,Popondetta,PG-NPP,OC,medium_airport,-8.80453968048,148.309005737,311,
AYGS,Gasuke Airport,PG,Gasuke,PG-WPD,OC,small_airport,-6.1028,141.7393,157,
AYGW,Guwasa Airport,PG,Guwasa,PG-EHG,OC,small_airport,-6.465838,145.083968,4800,
AYGY,Guavi Airstrip,PG,Guavi,PG-WPD,OC,small_airport,-6.87,142.7537,303,
AYHA,Haia Airport,PG,,PG-CPK,OC,small_airport,-6.707421,144.997398,2434,
AYHB,Habi Airport,PG,Habi,PG-WPD,OC,small_airport,-6.32,142.4893,993,
AYHE,Heiweni Airport,PG,Heiweni,PG-MPL,OC,small_airport,-7.4223,146.4276,3480,
AYHH,Honinabi Airport,PG,Honinabi,PG-WPD,OC,small_airport,-16.2457,142.1771,452,
AYHJ,Hewa Airstrip,PG,Hewa,PG-EPW,OC,small_airport,-5.1914,142.9595,5000,
AYHK,Kimbe Airport,PG,Hoskins,PG-WBK,OC,medium_airport,-5.462170124053955,150.40499877929688,66,
AYHL,Hesalibi Airstrip,PG,Hesalibi,PG-WPD,OC,small_airport,-6.6,142.3502,305,
AYHN,Habina Airstrip,PG,Habina,PG-EHG,OC,small_airport,-6.6671,146,6200,
AYHO,Haivaro Airport,PG,Haivaro,PG-GPK,OC,small_airport,-6.9406,143.059,180,
AYHQ,Hauna Airstrip,PG,Hauna,PG-ESW,OC,small_airport,-4.2994,142.2305,73,
AYHT,Hotmin Airstrip,PG,Hotmin Mission,PG-ESW,OC,small_airport,-4.5845,141.5742,196,
AYHW,Haewenai Airstrip,PG,Haewenai,PG-WPD,OC,small_airport,-5.7219,141.3205,220,
AYHX,Herowena Airstrip,PG,Herowana,PG-EHG,OC,small_airport,-6.6229,145.1972,4695,
AYHY,Huya Airstrip,PG,Huya,PG-SHM,OC,small_airport,-6.2734,142.7061,2611,
AYIB,Ibil Airstrip,PG,Ibil,PG-SAN,OC,small_airport,-4.6828,141.0316,870,
AYII,Imane Airport,PG,Imane,PG-MPL,OC,small_airport,-6.7524,146.1072,3860,
AYIM,Kungim Airport,PG,Kungim,PG-WPD,OC,small_airport,-5.671,141.03,349,
AYIN,Busilmin Airstrip,PG,Busilmin,PG-SAN,OC,small_airport,-4.9166,141.1548,5450,
AYIO,Imonda Airport,PG,Imonda,PG-SAN,OC,small_airport,-3.328,141.1573,990,
AYIP,Iropena Airstrip,PG,Iropena,PG-ESW,OC,small_airport,-5.0333,143.87084,5190,
AYIR,Inaru Airstrip,PG,Inaru,PG-ESW,OC,small_airport,-4.6316,142.8913,178,
AYIS,Isan Airstrip,PG,Isan,PG-MPL,OC,small_airport,-5.9781,146.61975,6955,
AYIT,Iteri Airstrip,PG,Iteri,PG-ESW,OC,small_airport,-4.2418,141.5234,242,
AYIU,Ialibu Airport,PG,Ialibu,PG-SHM,OC,small_airport,-6.2782,143.9944,6736,
AYIX,Witu Airport,PG,Garove Island,PG-WBK,OC,small_airport,-4.689522,149.440112,25,
AYJE,Yomneri Airstrip,PG,Yomneri,PG-MPM,OC,small_airport,-5.237,144.6007,6100,
AYJO,Yongai Airport,PG,Yongai,PG-CPM,OC,small_airport,-8.5289,147.4603,6500,
AYKA,Losuia Airport,PG,Losuia,PG-MBA,OC,small_airport,-8.505820274353027,151.08099365234375,27,
AYKG,Kopiago Airport,PG,Kopiago,PG-HE,OC,small_airport,-5.3883,142.4977,4445,
AYKI,Kiunga Airport,PG,Kiunga,PG-WPD,OC,small_airport,-6.1257100105285645,141.28199768066406,88,
AYKJ,Kanainj Airport,PG,Kanainj,PG-MPM,OC,small_airport,-5.2903,144.7072,4064,
AYKK,Kikori Airport,PG,Kikori,PG-GPK,OC,small_airport,-7.424379825592041,144.2500762939453,50,
AYKL,Kafle Airstrip,PG,Kafle,PG-SAN,OC,small_airport,-3.75,142.59,850,
AYKM,Kerema Airport,PG,Kerema,PG-GPK,OC,medium_airport,-7.96361017227,145.770996094,10,
AYKN,Kubuna Airstrip,PG,Kubuna Mission,PG-CPM,OC,small_airport,-8.6917,146.7566,200,
AYKR,Kar Kar Airport,PG,Kar Kar Island,PG-MPM,OC,small_airport,-4.557,145.9404,130,
AYKT,Aropa Airport,PG,Kieta,PG-NSB,OC,small_airport,-6.305417,155.728139,20,
AYKU,Kuri Airport,PG,Kuri,PG-GPK,OC,small_airport,-7.135083,143.276111,35,
AYKV,Kavieng Airport,PG,Kavieng,PG-NIK,OC,medium_airport,-2.57940006256,150.807998657,7,
AYKY,Londolovit Airport,PG,Londolovit,PG-NIK,OC,small_airport,-3.04361009598,152.628997803,167,
AYKZ,Kairiru Airstrip,PG,Kairiru Island,PG-ESW,OC,small_airport,-3.3687,143.5546,60,
AYLB,Lab Lab Airport,PG,Lab Lab Mission,PG-MPL,OC,small_airport,-5.7204,148.0566,160,
AYLC,Lake Campbell Airstrip,PG,Lake Campbell,PG-WPD,OC,small_airport,-6.7486,142.6037,585,
AYLE,Lele Airstrip,PG,Leli,PG-EBR,OC,small_airport,-5.2192,151.3938,1600,
AYLH,Klauhau Airstrip,PG,Klauhau,PG-ESW,OC,small_airport,-4.1305,142.2495,130,
AYLO,Lowai Airport,PG,Lowai,PG-MPL,OC,small_airport,-6.3344,146.6458,2900,
AYLP,Leron Plains Airport,PG,Leron Plains,PG-MPL,OC,small_airport,-6.3917,146.3434,680,
AYLQ,Lagoon Airstrip,PG,Lagoon,PG-WPD,OC,small_airport,-8.8186,143.1317,100,
AYLS,Lese Airport,PG,Lese,PG-GPK,OC,small_airport,-8.2799,146.2765,40,
AYLX,Long Island Airport,PG,Long Island,PG-MPM,OC,small_airport,-5.3604,147.0177,116,
AYLZ,Slai Airstrip,PG,Slai,PG-ESW,OC,small_airport,-4.0322,143.1831,77,
AYMA,Manari Airport,PG,Manari,PG-NPP,OC,small_airport,-9.1908,147.6219,2630,
AYMB,Morobe Airport,PG,Morobe,PG-MPL,OC,small_airport,-7.74,147.59,8,
AYMD,Madang Airport,PG,Madang,PG-MPM,OC,medium_airport,-5.20707988739,145.789001465,20,
AYMH,Mount Hagen Kagamuga Airport,PG,Mount Hagen,PG-WHM,OC,medium_airport,-5.826789855957031,144.29600524902344,5388,
AYMK,Mok Airport,PG,Mok,PG-WBK,OC,small_airport,-5.730238,149.056583,1050,
AYML,Mougulu Airport,PG,Mougulu,PG-WPD,OC,small_airport,-6.280859,142.420775,825,
AYMN,Mendi Airport,PG,Mendi,PG-SHM,OC,medium_airport,-6.14774,143.656998,5680,
AYMO,Momote Airport,PG,Manus Island,PG-MRL,OC,medium_airport,-2.06189,147.423996,12,
AYMR,Moro Airport,PG,Moro,PG-SHM,OC,small_airport,-6.36332988739,143.238006592,2740,
AYMS,Misima Island Airport,PG,Misima Island,PG-MBA,OC,small_airport,-10.689200401299999,152.837997437,26,
AYMW,Marawaka Airport,PG,Marawaka,PG-EHG,OC,small_airport,-6.9736,145.8849,6050,
AYMY,Smok Airstrip,PG,Smok,PG-SAN,OC,small_airport,-3.3158,141.2461,729,
AYNA,Nankina Airport,PG,Gwarawon,PG-MPM,OC,small_airport,-5.837,146.4533,5800,
AYNE,Negarbo(Negabo) Airport,PG,Negarbo,PG-CPK,OC,small_airport,-6.567778,144.703058,4500,
AYNG,Manguna Airport,PG,Manguna,PG-EBR,OC,small_airport,-5.577778,151.792333,187,
AYNM,Kasonombe Airport,PG,Kasonombe,PG-MPL,OC,small_airport,-6.3819,146.9859,5800,
